"mouse_num","tumor_id","patho_est_location","patho_tumor_grade","patho_notes","requests","tumor","mouse_tumor","necropsy_file_comments","strain","virus","tyr_cre_status","gender","dob","injection_date","tumor_noticed","behavior_noticed","death_date","end_date","mri_imaging_date","age_of_tumor_onset","age_of_behavior_onset","age_at_death","tumor_locations","tumor_grade_post_h_e","notes","injected_by","mouse_num_tag","mouse_tag","age_death_cap","src","necropsy_comments"
29409,"29409 B","Brain","Grade II Infiltrating Astrocytoma","Ki67 + near the ventricle. Early stage glioma. No mitotic activity. estimated 25% ki67 +.","GFAP","B","29409 B","ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22","N-TVA::H11LSL-Cas9;Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2022-02-10,2022-02-10,NA,2022-03-29,2022-04-04,2022-04-04,NA,NA,47,53,"brain","Grade II Infiltrating Astrocytoma","ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead.","RE","29409-10","10",53,"RE","ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22"
29387,"29387 B","Brain","Infiltrating Astrocytoma","Possibly located in the germinal matrix in the mouse, though needs to be confirmed. Pinching off ventricles. Possibly ependymal.","Look into neurons staining brown for pERK. send to Dr. Davidson with mouse anatomy website.","B","29387 B","small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection.","N-TVA::H11LSL-Cas9;Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2022-02-09,2022-02-10,2022-03-29,NA,2022-04-05,2022-04-05,NA,48,NA,55,"brain","Infiltrating Astrocytoma","small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation","RE","29387-00","00",54,"RE","small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection."
26012,"26012 B","Brain","High Grade Infiltrating Glioma","Concentration surrounding blood vessels. Evidence of perineuronal cytosis. pERK on leading edges of tumor. Est. 50% ki67+","Staining for IDH1&2?","B","26012 B","partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","Tg/Tg","M",2021-01-20,2021-01-22,NA,2021-04-30,2021-04-30,2021-04-30,NA,NA,100,100,"Glioma",NA,"partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal","RH","26012-01","01",98,"RE","partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal"
28205,"28205 B","Brain","Pre-tumorigenic","The bulge does not appear to be the optic chiasm. No tumor, though skattered pERK and ki67 cells.",NA,"B","28205 B","Complete lower paralysis, swollen cheeks, large hump on the back, thin skull, possible blood clot on the liver","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-10-12,2021-10-14,NA,2022-01-03,2022-01-03,2022-01-03,NA,NA,83,83,"Pre-tumorigenic",NA,"Complete lower paralysis, swollen cheeks, large hump on the back, thin skull, possible blood clot on the liver","RH","28205-01","01",81,"RE","Complete lower paralysis, swollen cheeks, large hump on the back, thin skull, possible blood clot on the liver"
28204,"28204 B","Brain","Pre-tumorigenic, possible OPG","ki67+ cells on a peripheral nerve-possibly optic? Similar to 28205","send to Dr. Davidson with mouse anatomy website.","B","28204 B","Red, sunken eyes, head bulge, soft skull, fat on heart, no obs. Tumor, possible blood clot on liver","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-10-12,2021-10-14,2021-12-21,NA,2022-01-03,2022-01-03,NA,NA,NA,83,"Pre-tumorigenic, Optic Nerve?",NA,"Red, sunken eyes, head bulge, soft skull, fat on heart, no obs. Tumor, possible blood clot on liver","RH","28204-00","00",81,"RE","Red, sunken eyes, head bulge, soft skull, fat on heart, no obs. Tumor, possible blood clot on liver"
26281,"26281 B","Optic Pathway?","High Grade","Neuroepithelial tumor, extra-aximal. Excellent PTEN staining. (*lymphocytes also stain ki67 + but have much bigger nuclei*)","use for manuscript","B","26281 B","partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-19,2021-02-21,NA,2021-05-19,2021-05-19,2021-05-19,NA,NA,89,89,"Optic Nerve?",NA,"partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy","RH","26281-01","01",87,"RE","partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy"
26280,"26280 B","Optic Pathway?","High Grade","Pilocytic morphology. Glial tumor with high mitotic activity. Slice of nerve, possibly optic  nerve.","send to Dr. Davidson with mouse anatomy website.","B","26280 B","mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-19,2021-02-21,NA,2021-05-05,2021-05-05,2021-05-05,NA,NA,75,75,"Optic Nerve?",NA,"mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with","RH","26280-00","00",73,"RE","mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with"
28202,"28202 T1","Optic Nerve?","High Grade, possible OPG","Similar morphology to 26281. Mitotically active. H&E looks like a nerve at the base of the brain. Brain has signs of necrosis, high grade.","send to Dr. Davidson with mouse anatomy website.","T1","28202 T1","intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal.","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","F",2021-10-12,2021-10-14,2021-12-20,NA,2021-12-27,2021-12-27,NA,69,NA,76,"Optic Nerve?",NA,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal.","RH","28202-10","10",74,"RE","intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal."
28200,"28200 T1","Optic Pathway?","Possible ganglioneuroma","Elongated nuclei and fascicular growth present. Ganglion cells are mitotically active. Possible Ganglioneuroma. Possible nerve sheath tumor because of the abundant mitotic activity not typical for ganglioneuromas","S100, GFAP, redo pERK","T1","28200 T1","intracranial tumor, under left hemisphere, appears to be an optic tumor, sacked for lethargy and red discharge around eye, tumor was attached to skull, all other organs appeared normal","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","F",2021-10-12,2021-10-14,2022-01-20,NA,2022-01-30,2022-01-30,NA,100,NA,110,"Ganglioneuroma",NA,"intracranial tumor, under left hemisphere, appears to be an optic tumor, sacked for lethargy and red discharge around eye, tumor was attached to skull, all other organs appeared normal","RH","28200-00","00",108,"RE","intracranial tumor, under left hemisphere, appears to be an optic tumor, sacked for lethargy and red discharge around eye, tumor was attached to skull, all other organs appeared normal"
28208,"28208 B","Bladder","Infiltrating Glioblastoma and possible gliosarcoma","High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RE",NA
28208,"28208 T2","Kidney","Infiltrating Glioblastoma and possible gliosarcoma","High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP","T2","28208 T2","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-10-12,2021-10-14,2021-12-04,NA,2021-12-22,2021-12-22,NA,53,NA,71,"Glioblastoma, Gliosarcoma?",NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","RH","28208-11","11",69,"RE","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)"
28208,"28208 T3","Brain","Infiltrating Glioblastoma and possible gliosarcoma","High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP","T3","28208 T3","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-10-12,2021-10-14,2021-12-04,NA,2021-12-22,2021-12-22,NA,53,NA,71,"Glioblastoma, Gliosarcoma?",NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","RH","28208-11","11",69,"RE","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)"
26014,"26014 T1","Spinal Cord","Possible gliosarcoma","Lots of mitotically active neoplasm invading into the skeletal muscle. PTEN lost in most tumor cells, but not all. Possible gliosarcoma","S100, GFAP, redo ki67","T1","26014 T1","severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-01-20,2021-01-22,NA,2021-04-12,2021-04-12,2021-04-12,NA,NA,82,82,"spinal cord/gliosarcoma?",NA,"severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord, some of the tumor was frozen, used to make a cell line, and fixed.","RH","26014-10","10",80,"RE","severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord"
26037,"26037 T1","Extracranial","High Grade","Appears mildly glial in origin, another possible gliosarcoma. Infiltrating the skeletal muscle. Lots of mitotic activity. Fibrillary background.","S100, GFAP","T1","26037 T1","mouse appears normal except for large head tumor.","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-24,2021-01-26,2021-03-18,NA,2021-04-01,2021-04-01,NA,53,NA,67,"Gliosarcoma?",NA,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.","RH","26037-00","00",65,"RE","mouse appears normal except for large head tumor."
26276,"26276 T1","Spinal Cord","Gliosarcoma?","Glial and fascicular tumor infiltrating into the fat, skeletal muscle, and a lymph node. PTEN lost in a subset of tumor cells.","S100, GFAP","T1","26276 T1","tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-02-19,2021-02-21,2021-05-10,2021-05-10,2021-05-17,2021-05-17,NA,80,80,87,"spine tumor/gliosarcoma, nerve",NA,"tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.","RH","26276-03","03",85,"RE","tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1."
26274,"26274 T1","Spinal Cord","High Grade","Invading into the skeletal muscle. Glial in origin, with lots of mitotic activity. Focal fascicular growth present.","S100, GFAP","T1","26274 T1","tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-02-19,2021-02-21,2021-05-26,NA,2021-05-26,2021-05-26,NA,96,NA,96,"spine tumor/Gliosarcoma?",NA,"tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen","RH","26274-00","00",94,"RE","tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen"
28207,"28207 T1","Extracranial","Angiosarcoma?","Tumor is eating its way into the scalp. Fascicular. Possible sarcoma or angiosarcoma.","S100, GFAP","T1","28207 T1","Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-10-12,2021-10-14,2021-11-28,NA,2021-12-15,2021-12-15,NA,47,NA,64,"Angiosarcoma?",NA,"Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal","RH","28207-10","10",62,"RE","Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal"
28203,"28203 T1","Extracranial","Gliosarcoma?","Tumor appears glial in origin. Possible gliosarcoma.","S100, GFAP","T1","28203 T1","Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","F",2021-10-12,2021-10-14,NA,NA,2022-01-03,2022-01-03,NA,70,NA,83,"Gliosarcoma?",NA,"Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs","RH","28203-11","11",81,"RE","Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs"
26007,"26007 B","Brain","NED","NED",NA,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RE",NA
24801,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24801-00","00",151,"RE",NA
24802,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24802-01","01",151,"RE",NA
24803,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24803-03","03",151,"RE",NA
24805,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24805-00","00",151,"RE",NA
24807,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24807-03","03",151,"RE",NA
