mouse_num,initials,nec_date,sex,strain,sac_date,injection_date,virus,dox_tx,genotype,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,rcas_injection,injection_route,dob,t,tissue_br,tissue_optic_n,tissue_lung,tissue_liver,comments,tumor_bool
22841,ZL,5/20/2020,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,5/20/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22843-BR,1,yes,NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,Partially paralyzed. ... Mouse stopped moving.,0
22844,ZL,6/11/2020,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/11/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22844-BR,1,yes,NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,"Diffiulty moving and walking, mishapen head. ... Mishapen head, could not move.",0
22846,ZL,6/1/2020,F,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+,6/1/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22846-BR,1,yes,NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,"Difficulty moving, weirdly shaped head. ... Difficulty moving and breathing, mishapen head.",0
22847,ZL,6/15/2020,F,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/15/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22847-BR,1,yes,NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,"Respiratory Issues, looked sick. ... Respiratory Issues, looked sick.",0
22921,ZL,6/17/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/17/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22921-BR,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,Respiratory Issues and paralyzed no domed head observed. ... Respiratory Issues and paralyzed.,0
22922,ZL,7/31/2020,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,7/31/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,Brain and behavior was normal. ... Healthy.,0
22923,ZL,6/15/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/26/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22923-BR,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,brain looked normal. ... paralysis + large tumor in/over eye.,1
22924,ZL,7/31/2020,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,7/31/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,Mouse behavior normal. Small tumor on left cranial nerve. ... Healthy.,1
22925,GP,5/24/2020,M,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,6/18/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,NA,NA,Yes,HCI-22925-BR,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,"large white mass under brain. Rick thinks enlarged pituitary. ... protruding rectum, difficulty walking.",1
22926,GP,5/24/2020,M,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,5/24/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,extracranial tumor,NA,Yes,NA,1,yes,NA,Yes,intracranial,3/3/2020,"Brain, extracranial tumor",1,NA,NA,NA,Large tumor invading left eye/domed head.,1
23021,ZL,6/6/2020,M,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,6/6/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,NA,NA,Yes,HCI -20-23021-BR,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,"Uppon Necropsy massive tumor enveloping brain, face, and growing outside skull. ... Large domed head and disfigurement, difficulty moving back legs.",1
23269,ZL,9/2/2020,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,9/2/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,4/1/2020,Brain,1,NA,NA,NA,Brain looked perfectly normal. ... Experimental end date.,0
23270,ZL,7/1/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/1/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23270-BR,1,yes,NA,Yes,intracranial,4/17/2020,Brain,1,NA,NA,NA,Brain looked relatively normal. ... Mouse was fully paralyzed.,0
23271,ZL,7/21/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/21/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23271-BR,1,yes,NA,Yes,intracranial,4/1/2020,Brain,1,NA,NA,NA,"Indentation on top of head between lobes was filled with liquid. ... Slightly disfigured face, swollen eyes (no tumor seen outside skull), and paralyzed.",0
23286,ZL,7/13/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/13/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23286-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,Slightly enlarged cranial nerves but brain looked normal. ... Completely paralyzed.,0
23287,ZL,7/1/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/1/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23287-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,"Large white mass underneath brain and enveloping cranial nerves. Tumor present outside skull on eye as well.. ... Large tumor growing through eye, eye burst open..",1
23288,ZL,6/15/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/15/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23288-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,"Paralyzation and large growth coming out of head. ... Very large domed head, disfigurement, growth over eye and paralyzation of back legs..",2
23289,ZL,6/19/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/19/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23289-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,Animal was found paralyzed with inability to move any of its body from the front legs down.. ... Paralyzed.,0
23290,ZL,7/13/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/13/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23290-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,Slightly enlarged cranial nerves but brain looked normal. ... Completely paralyzed.,0
23291,ZL,6/30/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/29/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23291-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,"Blind and disfigured from tumors growing on head. ... Effectively blind, tumors on face and head completely swelled eyes shut..",1
23292,ZL,8/26/2020,M,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,8/26/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,Brain looked perfectly normal. ... Mouse was completely paralyzed.,0
23293,ZL,6/15/2020,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/26/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23293-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,"Bottom of brain was completely mush, normal tissue present and underneath brain grey/white mush slightly attached to brain. ... Difficulty breathing, looked sick, slightly mishapen head..",0
23294,ZL,7/21/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/21/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23294-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,Very large tumor growing out of bone on skull at location of injection. Enlarged cranial nerve on posterior right side of head.. ... Very large tumor growing outside of skull + complete paralysis.,1
23295,ZL,7/27/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/27/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,Brain slightly smaller than would be expected but otherwise normal. ... 3-4 Tumors on head larger than 2 cm.. ... 2020-06-16 Slight domed head noticed,1
23296,ZL,6/15/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/26/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23296-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,"brain looked normal if a little weird shaped.. ... complete paralysis, and extreme hunched back.",0
23298,ZL,7/8/2020,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/8/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23298-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,"Completely paralyzed, unable to void properly, brain looked normal.. ... Completely paralyzed.",0
23300,ZL,6/12/2020,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/12/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23300-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,"Diffiulty moving and walking. ... Mouse could not move hind legs or front of body, difficulty walking. ... No domed head was noted",0
23301,ZL,7/1/2020,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/17/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23301-BR,1,yes,NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,Brain and spinal cord looked normal. Cranial nerves on left posterior portion slightly enlarged.. ... Paralyzed and difficulty breathing..,0
23397,ZL,6/26/2020,F,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/26/2020,4/11/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23397-BR,1,yes,NA,Yes,intracranial,4/10/2020,Brain,1,NA,NA,NA,large white tumor underneath left parietal lobe. ... complete paralysis + very hunched back.,1
23399,ZL,8/4/2020,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/4/2020,4/11/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,spinal cord intact,NA,Yes,NA,1,no,NA,Yes,intracranial,4/10/2020,"Brain, spinal cord intact",1,NA,NA,NA,No symptoms TVA-.,0
23400,ZL,6/1/2020,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/1/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23400-BR,1,yes,NA,Yes,intracranial,4/10/2020,Brain,1,NA,NA,NA,Diffiulty moving and walking. ... Mouse had difficulty moving and breathing.,0
23401,GP,5/3/2020,M,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+,5/3/2020,4/11/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+,NA,No,Yes,NA,NA,NA,NA,Yes,Intracranial,4/10/2020,Brain,1,NA,NA,NA,"Broken leg; in pain/distress. ... Leg was stuck in grate of cage, and animal was hanging by leg.,Leg broken and unable to walk.,Distress/pain noted._Brain and all other organs appeared normal.",0
23460,ZL,9/11/2020,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/9/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,Brain looked perfectly normal. ... Prolapsed Uterus.,0
23461,ZL,6/19/2020,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,6/19/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23461-BR,1,yes,NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,Animal was found paralyzed with inability to move any of its body from the front legs down.  Difficulty breathing. ... Paralyzed.,0
23463,ZL,6/30/2020,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/29/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23463-BR,1,yes,NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,"Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.. ... Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull..",1
23464,ZL,7/8/2020,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,7/8/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23464-BR,1,yes,NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,Paralyzed with small tumor growing on face. No apparent tumor on skull brain looked normal.. ... Paralyzed with small tumor growing on eye.,1
23465,ZL,6/30/2020,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/29/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23465-BR,1,yes,NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,"Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.. ... Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull..",1
23466,ZL,7/21/2020,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,7/21/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23466-BR,1,yes,NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,"Brain looked gray and pale but otherwise normal.. ... Lack of grooming, difficulty breathing, looked weak and sickly... ... 6/4/2020 (noticed animal looked sickly)",0
23467,ZL,8/5/2020,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,8/5/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,4/19/2020,Brain,1,NA,NA,NA,"Very large tumor underneath brain emanating from left optic cranial nerve. ... Domed head, weak and sickly, difficulty breathing.",1
23468,ZL,8/26/2020,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,8/26/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,5/19/2020,Brain,1,NA,NA,NA,Brain looked perfectly normal. ... Mouse was very sick difficulty breathing.,0
23469,RH,7/16/2020,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/16/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,spinal cord,NA,Yes,HCI -20-23469-BR,1,yes,NA,Yes,intracranial,4/19/2020,"Brain, spinal cord",1,NA,NA,NA,"Slightly enlarged cranial nerves but brain looked normal, mouse was paralyzed. ... paralyzed lower limbs. ... HCI-20-23469-SpCo. ... 7/15/2020, paralysis noted",0
23470,ZL,6/30/2020,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/29/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23470-BR,1,yes,NA,Yes,intracranial,4/19/2020,Brain,1,NA,NA,NA,"Was paralyzed, had tumor growing outside the skull (small), and large white mass found underneath brain.. ... Paralyzed + disfiguremnt from ttumors on face.",1
23522,ZL,6/30/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/29/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23522-BR,1,yes,NA,Yes,intracranial,4/22/2020,Brain,1,NA,NA,NA,Completely paralyzed. ... Completely paralyzed.,0
23523,ZL,6/19/2020,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,6/19/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23523-BR,1,yes,NA,Yes,intracranial,4/22/2020,Brain,1,NA,NA,NA,paralyzed. ... Paralyzed.,0
23524,RH,7/16/2020,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/16/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,"eye, spinal cord (not intact)",NA,Yes,HCI -20-23524-BR,1,yes,NA,Yes,intracranial,4/22/2020,"Brain, eye, spinal cord (not intact)",1,NA,NA,NA,"Tumor behind right eye. Looks like a tumor of the occular nerve. Brain looks normal otherwise.. ... Right eye is enlarged and could rupture. ... HCI-20-23524-SpCo,HCI-20-23524-Ey",1
23525,ZL,9/17/2020,M,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,9/17/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,"Tumor and brain, tumor tissue frozen, cell line started, and formalin fixed",NA,Yes,NA,1,yes,NA,Yes,intracranial,4/22/2020,"Tumor and brain, tumor tissue frozen, cell line started, and formalin fixed",1,NA,NA,NA,Tumor present on side of body weird fatty skin growth. Brain looked normal. ... Bloody cutaneous tumro growing on side.,1
23526,ZL,6/30/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/6/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23526-BR,1,yes,NA,Yes,intracranial,4/22/2020,Brain,1,NA,NA,NA,"Completely paralyzed, and large tumor covering entired skull. Brain underneath skull appeared normal. ... Paralyzed with large tumor growing on skull.",1
23527,ZL,7/27/2020,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/27/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,4/22/2020,Brain,1,NA,NA,NA,Hollow left hemisphere maybe filled with liquid + tumor on right posterior cranial nerve. ... Complete paralysis.. ... 2020-06-04 Slight domed head noticed,1
23528,ZL,8/7/2020,M,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,8/11/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,4/22/2020,Brain,1,NA,NA,NA,"small tumor ontop of skull, brain looked normal. ... difficulty breathing, domed head, sick.",1
23783,ZL,8/10/2020,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/9/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,5/23/2020,Brain,1,NA,NA,NA,"Brain was soft but most likely from being dead a little while, everything appeared normal. ... Completely paralyzed? Animal was found dead but had weakness in legs beforehand.",0
23784,ZL,9/17/2020,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/17/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,5/23/2020,brain,1,NA,NA,NA,Brain looked normal no evidence of tumor on spine either. ... Mouse was paralyzed.,0
23786,ZL,7/27/2020,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,7/27/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,5/23/2020,Brain,1,NA,NA,NA,"Mushy gray tissue underneath brain surrounding cranial nerves, brain softer than normal enlarged as well. ... Completely paralyzed.. ... 2020-07-20 Slight domed head noticed",2
