mouse_num,initials,nec_date,disposition,sex,strain,sac_date,injection_date,virus,evidence_of_tumor,date_tumor_reported,dox_tx,genotype,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,additional_comments,rcas_injection,injection_route,x_4,dob,t,tissue_br,tissue_optic_n,tissue_lung,tissue_liver,tumor_evidence
24988,ZL,2021-02-16,"Sick, breathing weird, very large distended stomach.",M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-02-16,2020-10-12,RCAS Cre-U6sgRNA-ex2-NF1,yes,44243,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,"Yes, necrotic tmuor stuck to bottom of brain and cavity, scooped all up and formalin fixed",HCI-20-24988,NA,yes,No,"Brain slightly large, necrotic tissue/tumor underneath brain and in cavity. No cell line started, most scooped out with brain.,Very disteneded stomach was due to all digestive organs being maximally filled with gas including stomach.",NA,NA,NA,2020-10-11,Brain,1,NA,NA,NA,1
25260,ZL,2021-02-01,"swollen head, very sick (skinny and hunched over)",M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2021-02-01,2020-11-08,RCAS Cre-U6sgRNA-ex2-NF1,No,44216,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,No,full brain,HCI-20-25260,NA,yes,No,Brain was completely hollow and extremely swollen full of clear liquid and blood. Harvested all in one piece. No sign of tumor.,NA,NA,NA,2020-11-06,Brain,1,NA,NA,NA,0
26040,RH,2021-04-22,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-22,2021-01-26,RCAS Cre U6 sgRNA Ex2 NF1,NA,"behavior reported 4/16/21, eyes looking partially closed",NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"Mouse was found dead. No sign of tumor upon necropsy. Behavior was first noted on 4/16, but mouse never appeared like it required euthanasia. Brain was able to be harvested in one piece.",NA,NA,NA,2021-01-24,Brain,1,NA,NA,NA,NA
26061,RH,2021-05-05,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-05,2021-01-26,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"lossing mobility, everything looked normal upon necropsy",NA,NA,NA,2021-01-24,Brain,1,NA,NA,NA,NA
26062,RH,2021-04-26,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-26,2021-01-26,RCAS Cre U6 sgRNA Ex2 NF1,NA,44309,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"tumor on shoulder noticed 4/23/21, found dead, brain was sort of mush, tumors also noticed on lower spinal cord after necropsy",NA,NA,NA,2021-01-24,Brain,1,NA,NA,NA,NA
26063,RH,2021-04-26,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-26,2021-01-26,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"dragging legs 4/26/21, no other sign of tumor",NA,NA,NA,2021-01-24,Brain,1,NA,NA,NA,NA
26065,RH,2021-04-26,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-26,2021-01-26,RCAS Cre U6 sgRNA Ex2 NF1,NA,44301,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"small bump noticed on top of head  on 4/15, showing more paralysis on 4/26/21, upon necropsy there was a top of head tumor which was small and only peeled off the skull with a piece of skull attached and fixed -T1. Tumor around the lower spinal cord was also minimal and used only to make a cell line - T2.",NA,NA,NA,2021-01-24,Brain,1,NA,NA,NA,NA
26066,RH,2021-04-26,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-26,2021-01-26,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"bulge noticed in scrotum and mouse is more emanciated than others in cage, it is a hernia, no sign of tumor",NA,NA,NA,2021-01-24,Brain,1,NA,NA,NA,NA
26067,RH,2021-05-05,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-05,2021-01-26,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,and neck tumors,No,"Brain, neck tumor (lymph node?)",NA,NA,NA,NA,"mouse was bloated with lots of gas built up in digestive tract, mouse was also acting less active and hunched over, there were 4 masses around the front and sides of the neck which were harvested for histology, freezing, and cell line - possibly lymph nodes given their symetry, brain has a little nub in the front of it that looked larger than normal",NA,NA,NA,2021-01-24,Brain and neck tumors,1,NA,NA,NA,NA
26068,RH,2021-05-14,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-14,2021-01-26,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"cranial nerve tumor (T1), and spinal cord tumor (T2)",No,Brain,NA,NA,NA,NA,"mouse is paralyzed with a partially closed left eye, upon necropsy there is an enlarged cranial nerve on both sides, which was only used for a cell line (T1). There was also a tumor found on the spinal cord (T2) also just used for cell line.",NA,NA,NA,2021-01-24,"Brain, cranial nerve tumor (T1), and spinal cord tumor (T2)",1,NA,NA,NA,NA
26069,RH,2021-06-14,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-06-14,2021-12-30,RCAS Cre-U6sgRNA-ex2-NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"Found dead. Noticed lower spine tumor on 6/9, lost mobility on 6/11, paralyzed on 6/12.",NA,NA,NA,2021-01-25,Brain,1,NA,NA,NA,NA
26137,RH,2021-04-05,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-05,2021-02-02,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"Found dead on a Monday, so could have died up to 3 days earlier. Brain was sort of mushy, so it was not in the best condition, but was able to be removed for histology. No other signs of tumor.",NA,NA,NA,2021-01-31,Brain,1,NA,NA,NA,NA
25310,RH,2021-01-20,"hunched over, scabs on tail, animal care staff required it be sacked",M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-01-20,2020-11-11,RCAS Cre,No,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,B,NA,NA,NA,No,brain appeared deflated,NA,NA,NA,2020-11-10,B,1,NA,NA,NA,0
26139,RH,2021-05-05,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-05,2021-02-02,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"neck tumor (lyph node?) T1, cranial nerve mush under brain (T2)",No,"Brain, T1",NA,NA,NA,NA,"bloated looking due to gut full of gas, breathing heavy, enlarged masses around neck (T1) similar to 26067 (may be lymph nodes, might have missed these in previous mice) - these were fixed, frozen and used for a cell line, Also had a mushy mass under the brain (T2) which was used for a cell line",NA,NA,NA,2021-01-31,"Brain, neck tumor (lyph node?) T1, cranial nerve mush under brain (T2)",1,NA,NA,NA,NA
26140,RH,2021-07-01,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-07-01,2021-02-02,RCAS Cre-U6-sgRNA-Ex2-NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,cranial nerve tumor,No,"Brain, cranial nerve tumor",NA,NA,NA,NA,"mouse appeared normal prior to necropsy, brain was being pushed from a large tumor underneith that was attached to the base of the cranial cavity, possibly from a cranial nerve (right side), a photo was taken. Tumor was very firm and white looking, It was split 3 ways for freezing, cell line, and fixing. I included the tumor along with the brain in the same parafin block.",NA,NA,NA,2021-01-31,"Brain, cranial nerve tumor",1,NA,NA,NA,NA
26141,RH,2021-05-17,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-14,2021-02-02,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,cranial nerve tumor,No,Brain,NA,NA,NA,NA,"mouse had a domed head, was hunched over, not grooming, and breathing heavy, there was a massive tumor under the brain and attached to the base of the cranial cavity, froze portion of tumor and used for cell line.",NA,NA,NA,2021-01-31,"Brain, cranial nerve tumor",1,NA,NA,NA,NA
26142,RH,2021-04-29,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-29,2021-02-02,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"starting to drag hind legs on 4/26/21, noticed left eye not fully open on 4/27/21, weeker and more emanciated than the cagemates so sacked before I find it dead, nothing abnormal noticed upon necropsy",NA,NA,NA,2021-01-31,Brain,1,NA,NA,NA,NA
26143,RH,2021-06-23,"mouse is puffy, not moving around much, slow breathing",M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-06-23,2021-02-02,RCAS Cre-U6sgRNA-ex2-NF1,no,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,No,Brain looked uncharacteristically white and it did not separate from the skull cleanly,NA,NA,NA,2021-01-31,Brain,1,NA,NA,NA,0
26275,RH,2021-05-05,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-05,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"hunched, emanciated, partial paralysis, brain looked a little puffy",NA,NA,NA,2021-02-19,Brain,1,NA,NA,NA,NA
26276,RH,2021-05-17,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-17,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"spinal cord tumor (T1), head tumor (T2)",No,"Brain, T1",NA,NA,NA,NA,"tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.",NA,NA,NA,2021-02-19,"Brain, spinal cord tumor (T1), head tumor (T2)",1,NA,NA,NA,NA
26277,RH,2021-05-05,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-05,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"hunched back, becoming paralyzed, brain looked a little puffy with a possible whiter section on the bottom",NA,NA,NA,2021-02-19,Brain,1,NA,NA,NA,NA
26278,RH,2021-04-23,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-23,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,NA,"behavior reported 4/23/21, partially paralyzed on hind legs",NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"mouse was observed to be partially paralyzed, and I didn't want to leave it over the weekend. Nothing looked abnormal upon necropsy",NA,NA,NA,2021-02-19,Brain,1,NA,NA,NA,NA
26279,RH,2021-04-13,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2021-04-13,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,yes,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,T1,No,"Brain, T1",NA,NA,NA,NA,"head tumor observed, so sacked before it got too big, made cell line with it, froze a piece and fixed it. Tumor was first observed within 5 days of 4/13, but exact date was not recorded.",NA,NA,NA,2021-02-19,"Brain, T1",1,NA,NA,NA,1
25504,ZL,2021-02-01,Large head tumor growing over skull,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-02-01,2020-10-14,RCAS Cre-U6sgRNA-ex2-NF1,yes,44225,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,"normal brain, small growth found on spine (T2), head tumor T1",HCI-20-25504,NA,yes,No,"Brain looked normal, tumor frozen, cell line formed (t1) and rest formalin fixed",NA,NA,NA,2021-01-02,Brain,1,NA,NA,NA,1
26280,RH,2021-05-05,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-05,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,cranial nerve,No,Brain,NA,NA,NA,NA,"mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with",NA,NA,NA,2021-02-19,"Brain, cranial nerve",1,NA,NA,NA,NA
26281,RH,2021-05-19,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-17,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,cranial nerve tumor,No,Brain,NA,NA,NA,NA,"partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy",NA,NA,NA,2021-02-19,"Brain, cranial nerve tumor",1,NA,NA,NA,NA
26282,RH,2021-05-17,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-14,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,No,Brain,NA,NA,NA,NA,"mouse was paralyzed, but nothing looked abnormal after necropsy",NA,NA,NA,2021-02-19,Brain,1,NA,NA,NA,NA
26305,RH,2021-05-10,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2021-05-10,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,cranial nerve tumor,No,"Brain, cranial nerve tumor",NA,NA,NA,NA,"mouse was hunched over, not moving much, and looked emanciated/sick, upon necropsy there was a large tumor under the brain that was not attached to the brain, but it was difficult to remove from the bottom of the cranial cavity, this is possibly growing from the left cranial nerve",NA,NA,NA,2021-02-21,"Brain, cranial nerve tumor",1,NA,NA,NA,NA
26307,RH,2021-04-13,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2021-04-13,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,yes,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,T1,No,"Brain, T1",NA,NA,NA,NA,"mouse was sort of small and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",NA,NA,NA,2021-02-21,"Brain, T1",1,NA,NA,NA,1
26308,RH,2021-05-19,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2021-05-17,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,No,Brain,NA,NA,NA,NA,"partially paralyzed in hind legs, everything else looked normal",NA,NA,NA,2021-02-19,Brain,1,NA,NA,NA,NA
26310,RH,2021-04-13,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2021-04-13,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,yes,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,T1,No,"Brain, T1",NA,NA,NA,NA,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",NA,NA,NA,2021-02-21,"Brain, T1",1,NA,NA,NA,1
26311,RH,2021-04-13,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2021-04-13,2021-02-21,RCAS Cre U6 sgRNA Ex2 NF1,yes,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,T1,No,"Brain, T1",NA,NA,NA,NA,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",NA,NA,NA,2021-02-21,"Brain, T1",1,NA,NA,NA,1
28202,RE,2021-12-27,,M,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,2021-12-27,2021-10-14,RCAS Cre-U6sgRNA-ex2-NF1,Y,44550,NA,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,T1,No,"Brain, Lungs, Liver, T1",NA,NA,NA,NA,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal.",NA,NA,NA,2021-10-12,"Brain, Lungs, Liver, T1",1,NA,1,1,1
28203,RE,2022-01-03,"Little Mobility in back legs,Trouble breathing,Red, sunken eyes,Extremely Underweight",F,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,2022-01-03,2021-10-13,RCAS Cre-U6sgRNA-ex2-NF1,Y,44551,NA,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,T1,No,"T1, Brain, Lungs, Liver",NA,NA,NA,NA,"Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs",NA,NA,NA,2021-10-12,"T1, Brain, Lungs, Liver",1,NA,1,1,1
25548,RH,2021-05-10,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2021-05-10,2020-12-04,RCAS Cre,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,No,Brain,NA,NA,NA,NA,experimental endpoint,NA,NA,NA,2020-12-04,Brain,1,NA,NA,NA,NA
28204,RE,2021-01-03,"Red, Sunken Eyes,Head bulge",M,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,2022-01-03,2021-10-14,RCAS Cre-U6sgRNA-ex2-NF1,N,NA,NA,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,No,"Brain, Lungs, Liver",NA,NA,NA,NA,"Red, sunken eyes, head bulge, soft skull, fat on heart, no obs. Tumor, possible blood clot on liver",NA,NA,NA,2021-10-12,"Brain, Lungs, Liver",1,NA,1,1,0
28204,RE,2021-01-03,"Complete Lower Paralysis,Swollen Cheeks,Large back hump",M,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,2022-01-03,2021-10-14,RCAS Cre-U6sgRNA-ex2-NF1,N,NA,NA,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,No,"Brain, Lungs, Liver",NA,NA,NA,NA,"Complete lower paralysis, swollen cheeks, large hump on the back, thin skull, possible blood clot on the liver",NA,NA,NA,2021-10-12,"Brain, Lungs, Liver",1,NA,1,1,0
28207,KC,2021-12-16,,M,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,2021-12-15,2021-10-14,RCAS Cre-U6sgRNA-ex2-NF1,NA,NA,NA,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,T1,No,"Brain, Lungs, Liver, T1",NA,NA,NA,NA,"Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal",NA,NA,NA,2021-10-12,"Brain, Lungs, Liver, T1",1,NA,1,1,NA
28208,RE,2021-12-22,,M,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,2021-12-22,2021-10-14,RCAS Cre-U6sgRNA-ex2-NF1,Y,44534,NA,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,"T1, T2, T3",No,"Brain, Lungs, Liver, T1, T2, T3",NA,NA,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",NA,NA,NA,2021-10-12,"Brain, Lungs, Liver, T1, T2, T3",1,NA,1,1,1
25825,GP,2021-12-28,"Paralyzed left side,Trouble breathing,Dome head",F,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,2021-12-28,2021-11-13,RCAS Cre-U6sgRNA-ex2-NF1,Y - domed head,NA,NA,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,No,"Brain, Lungs, Liver",NA,NA,NA,NA,"Probable intracranial tumor; sacked for left side paralysis and trouble breathing. Frontal lobe was caved in (from tumor)? Unable to isolate tumor separately so took entire brain, as well as lungs, liver.",NA,NA,NA,2021-11-11,"Brain, Lungs, Liver",1,NA,1,1,NA
