mouse_num,nec_by,nec_date,sac_date,injection_date,virus,formalin_fixed,parafin_block,gross_visualization_of_lung_nodules,rcas_injection,dob,t,comments,tumor_bool,tis_brain,tis_optic_n,tis_lung,tis_liver,tis_spinal_c,tis_cran_n,tis_eye,tum_neck,tum_cran_n,tum_spinal_c,tum_head,tum_low_back_ribs,tum_skin,tum_extracranial,tum_shoulder,tum_brain,tum_kidney,tum_bladder,tum_eye,paralysis,abnormal_appearance,nec_NED,xclude
22841,ZL,5/20/2020,5/20/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22843-BR,NA,Yes,2/17/2020,Brain,Partially paralyzed. ... Mouse stopped moving.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
22844,ZL,6/11/2020,6/11/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22844-BR,NA,Yes,2/17/2020,Brain,"Diffiulty moving and walking, mishapen head. ... Mishapen head, could not move.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
22846,ZL,6/1/2020,6/1/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22846-BR,NA,Yes,2/17/2020,Brain,"Difficulty moving, weirdly shaped head. ... Difficulty moving and breathing, mishapen head.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
22847,ZL,6/15/2020,6/15/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22847-BR,NA,Yes,2/17/2020,Brain,"Respiratory Issues, looked sick. ... Respiratory Issues, looked sick.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
22921,ZL,6/17/2020,6/17/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22921-BR,NA,Yes,3/3/2020,Brain,Respiratory Issues and paralyzed no domed head observed. ... Respiratory Issues and paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
22922,ZL,7/31/2020,7/31/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,3/3/2020,Brain,Brain and behavior was normal. ... Healthy.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
22923,ZL,6/15/2020,6/26/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22923-BR,NA,Yes,3/3/2020,Brain,brain looked normal. ... paralysis + large tumor in/over eye.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
22924,ZL,7/31/2020,7/31/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,3/3/2020,Brain,Mouse behavior normal. Small tumor on left cranial nerve. ... Healthy.,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22925,GP,5/24/2020,6/18/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI-22925-BR,NA,Yes,3/3/2020,Brain,"large white mass under brain. Rick thinks enlarged pituitary. ... protruding rectum, difficulty walking.",1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
22926,GP,5/24/2020,5/24/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,3/3/2020,"Brain, extracranial tumor",Large tumor invading left eye/domed head.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
23021,ZL,6/6/2020,6/6/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23021-BR,NA,Yes,3/3/2020,Brain,"Uppon Necropsy massive tumor enveloping brain, face, and growing outside skull. ... Large domed head and disfigurement, difficulty moving back legs.",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA
23269,ZL,9/2/2020,9/2/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,4/1/2020,Brain,Brain looked perfectly normal. ... Experimental end date.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
23270,ZL,7/1/2020,7/1/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23270-BR,NA,Yes,4/17/2020,Brain,Brain looked relatively normal. ... Mouse was fully paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23271,ZL,7/21/2020,7/21/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23271-BR,NA,Yes,4/1/2020,Brain,"Indentation on top of head between lobes was filled with liquid. ... Slightly disfigured face, swollen eyes (no tumor seen outside skull), and paralyzed.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23286,ZL,7/13/2020,7/13/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23286-BR,NA,Yes,4/3/2020,Brain,Slightly enlarged cranial nerves but brain looked normal. ... Completely paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23287,ZL,7/1/2020,7/1/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23287-BR,NA,Yes,4/3/2020,Brain,"Large white mass underneath brain and enveloping cranial nerves. Tumor present outside skull on eye as well.. ... Large tumor growing through eye, eye burst open..",1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
23288,ZL,6/15/2020,6/15/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23288-BR,NA,Yes,4/3/2020,Brain,"Paralyzation and large growth coming out of head. ... Very large domed head, disfigurement, growth over eye and paralyzation of back legs..",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23289,ZL,6/19/2020,6/19/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23289-BR,NA,Yes,4/3/2020,Brain,Animal was found paralyzed with inability to move any of its body from the front legs down.. ... Paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23290,ZL,7/13/2020,7/13/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23290-BR,NA,Yes,4/3/2020,Brain,Slightly enlarged cranial nerves but brain looked normal. ... Completely paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23291,ZL,6/30/2020,6/29/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23291-BR,NA,Yes,4/3/2020,Brain,"Blind and disfigured from tumors growing on head. ... Effectively blind, tumors on face and head completely swelled eyes shut..",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23292,ZL,8/26/2020,8/26/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,4/3/2020,Brain,Brain looked perfectly normal. ... Mouse was completely paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23293,ZL,6/15/2020,6/26/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23293-BR,NA,Yes,4/3/2020,Brain,"Bottom of brain was completely mush, normal tissue present and underneath brain grey/white mush slightly attached to brain. ... Difficulty breathing, looked sick, slightly mishapen head..",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23294,ZL,7/21/2020,7/21/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23294-BR,NA,Yes,4/3/2020,Brain,Very large tumor growing out of bone on skull at location of injection. Enlarged cranial nerve on posterior right side of head.. ... Very large tumor growing outside of skull + complete paralysis.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
23295,ZL,7/27/2020,7/27/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,4/3/2020,Brain,Brain slightly smaller than would be expected but otherwise normal. ... 3-4 Tumors on head larger than 2 cm.. ... 2020-06-16 Slight domed head noticed,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
23296,ZL,6/15/2020,6/26/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23296-BR,NA,Yes,4/3/2020,Brain,"brain looked normal if a little weird shaped.. ... complete paralysis, and extreme hunched back.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23298,ZL,7/8/2020,7/8/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23298-BR,NA,Yes,4/3/2020,Brain,"Completely paralyzed, unable to void properly, brain looked normal.. ... Completely paralyzed.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23300,ZL,6/12/2020,6/12/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23300-BR,NA,Yes,4/3/2020,Brain,"Diffiulty moving and walking. ... Mouse could not move hind legs or front of body, difficulty walking. ... No domed head was noted",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23301,ZL,7/1/2020,7/17/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23301-BR,NA,Yes,4/3/2020,Brain,Brain and spinal cord looked normal. Cranial nerves on left posterior portion slightly enlarged.. ... Paralyzed and difficulty breathing..,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23397,ZL,6/26/2020,6/26/2020,4/11/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23397-BR,NA,Yes,4/10/2020,Brain,large white tumor underneath left parietal lobe. ... complete paralysis + very hunched back.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA
23399,ZL,8/4/2020,8/4/2020,4/11/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,4/10/2020,"Brain, spinal cord intact",No symptoms TVA-.,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
23400,ZL,6/1/2020,6/1/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23400-BR,NA,Yes,4/10/2020,Brain,Diffiulty moving and walking. ... Mouse had difficulty moving and breathing.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23401,GP,5/3/2020,5/3/2020,4/11/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,4/10/2020,Brain,"Broken leg; in pain/distress. ... Leg was stuck in grate of cage, and animal was hanging by leg.,Leg broken and unable to walk.,Distress/pain noted._Brain and all other organs appeared normal.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
23460,ZL,9/11/2020,9/9/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,4/18/2020,Brain,Brain looked perfectly normal. ... Prolapsed Uterus.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
23461,ZL,6/19/2020,6/19/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23461-BR,NA,Yes,4/18/2020,Brain,Animal was found paralyzed with inability to move any of its body from the front legs down.  Difficulty breathing. ... Paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23463,ZL,6/30/2020,6/29/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23463-BR,NA,Yes,4/18/2020,Brain,"Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.. ... Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull..",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
23464,ZL,7/8/2020,7/8/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23464-BR,NA,Yes,4/18/2020,Brain,Paralyzed with small tumor growing on face. No apparent tumor on skull brain looked normal.. ... Paralyzed with small tumor growing on eye.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
23465,ZL,6/30/2020,6/29/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23465-BR,NA,Yes,4/18/2020,Brain,"Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.. ... Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull..",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
23466,ZL,7/21/2020,7/21/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23466-BR,NA,Yes,4/18/2020,Brain,"Brain looked gray and pale but otherwise normal.. ... Lack of grooming, difficulty breathing, looked weak and sickly... ... 6/4/2020 (noticed animal looked sickly)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
23467,ZL,8/5/2020,8/5/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,4/19/2020,Brain,"Very large tumor underneath brain emanating from left optic cranial nerve. ... Domed head, weak and sickly, difficulty breathing.",1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
23468,ZL,8/26/2020,8/26/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/19/2020,Brain,Brain looked perfectly normal. ... Mouse was very sick difficulty breathing.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
23469,RH,7/16/2020,7/16/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23469-BR,NA,Yes,4/19/2020,"Brain, spinal cord","Slightly enlarged cranial nerves but brain looked normal, mouse was paralyzed. ... paralyzed lower limbs. ... HCI-20-23469-SpCo. ... 7/15/2020, paralysis noted",0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23470,ZL,6/30/2020,6/29/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23470-BR,NA,Yes,4/19/2020,Brain,"Was paralyzed, had tumor growing outside the skull (small), and large white mass found underneath brain.. ... Paralyzed + disfiguremnt from ttumors on face.",1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA
23522,ZL,6/30/2020,6/29/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23522-BR,NA,Yes,4/22/2020,Brain,Completely paralyzed. ... Completely paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23523,ZL,6/19/2020,6/19/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23523-BR,NA,Yes,4/22/2020,Brain,paralyzed. ... Paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23524,RH,7/16/2020,7/16/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23524-BR,NA,Yes,4/22/2020,"Brain, eye, spinal cord (not intact)","Tumor behind right eye. Looks like a tumor of the occular nerve. Brain looks normal otherwise.. ... Right eye is enlarged and could rupture. ... HCI-20-23524-SpCo,HCI-20-23524-Ey",1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
23525,ZL,9/17/2020,9/17/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,4/22/2020,"Tumor and brain, tumor tissue frozen, cell line started, and formalin fixed",Tumor present on side of body weird fatty skin growth. Brain looked normal. ... Bloody cutaneous tumro growing on side.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23526,ZL,6/30/2020,7/6/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23526-BR,NA,Yes,4/22/2020,Brain,"Completely paralyzed, and large tumor covering entired skull. Brain underneath skull appeared normal. ... Paralyzed with large tumor growing on skull.",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23527,ZL,7/27/2020,7/27/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,4/22/2020,Brain,Hollow left hemisphere maybe filled with liquid + tumor on right posterior cranial nerve. ... Complete paralysis.. ... 2020-06-04 Slight domed head noticed,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23528,ZL,8/7/2020,8/11/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,4/22/2020,Brain,"small tumor ontop of skull, brain looked normal. ... difficulty breathing, domed head, sick.",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
23783,ZL,8/10/2020,8/9/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/23/2020,Brain,"Brain was soft but most likely from being dead a little while, everything appeared normal. ... Completely paralyzed? Animal was found dead but had weakness in legs beforehand.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23784,ZL,9/17/2020,9/17/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/23/2020,brain,Brain looked normal no evidence of tumor on spine either. ... Mouse was paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23786,ZL,7/27/2020,7/27/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/23/2020,Brain,"Mushy gray tissue underneath brain surrounding cranial nerves, brain softer than normal enlarged as well. ... Completely paralyzed.. ... 2020-07-20 Slight domed head noticed",2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23787,ZL,8/4/2020,8/4/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/23/2020,Brain,Small necrotic tumor underneath brain surrounding left cranial nerves. ... Completely paralyzed.,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23789,ZL,8/13/2020,8/13/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/23/2020,Brain,brain looked normal. ... Paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23790,ZL,8/13/2020,8/13/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/23/2020,Brain,"Large tumor growing on skull, brain appeared normaln if slightly smaller.. ... domed head + difficulty breathing.",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
23791,ZL,7/31/2020,7/31/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/23/2020,Brain,"tumor underneath brain surrounding cranial nerves, very soft necrotic tissue surrounding brain. ... domed head, weak/paralyzed body, difficulty breathing.",1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23792,ZL,8/13/2020,8/13/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/23/2020,Brain,small cranial nerve tumor. ... difficulty breathing.,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
23821,ZL,8/21/2020,8/21/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/28/2020,Brain,Evrything appeared normal. ... TVA- Sacked as a control.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
23822,ZL,8/7/2020,8/11/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/28/2020,Brain,"slight domed head with liquid, small necrotic tumor on cranial nerve.. ... Completely paralyzed.",1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
23823,ZL,7/21/2020,7/21/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23823-BR,NA,Yes,5/28/2020,Brain,"Very large brain which accounted for domed head, large tumor underneath brain surrounding left frontal cranial nerve.. ... slight domed head and complete paralysis..",1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23824,RH,7/16/2020,7/16/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-23824-BR,NA,Yes,5/28/2020,"Brain, head tumor, spinal cord (not intact)","brain looks normal, head tumor is not attached to skin or brain. ... Large tumor on front right of head. ... HCI-20-23824-SpCo,HCI-20-23824-HeTu",1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23826,ZL,7/31/2020,7/31/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/28/2020,Brain,"Tumor surrounding left posterior cranial nerve. ... weak/paralyzed body, difficulty breathing.",1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23828,ZL,8/21/2020,8/21/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/28/2020,Brain,"Mouse had a large tumor growing off side of body. Appeared to have originated from boony rib tissue?. ... Paralyzed, slightly lopsided face.",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23864,ZL,8/17/2020,8/17/2020,6/1/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/30/2020,Brain,brain looked normal. ... Healthy sacked for TVA status.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
23865,ZL,9/29/2020,9/29/2020,6/1/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/30/2020,Brain,Brain looked perfectly normal. ... Experimental end date (Mistake in Cages tab about 30 days too early)..,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
23866,ZL,8/7/2020,8/7/2020,6/1/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,5/30/2020,Brain,Medium sized necrotic tumor underneath brain surrounding cranial nerves and brain.. ... Weak and sickly with domed head.,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23964,ZL,9/2/2020,9/2/2020,6/18/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,6/15/2020,Brain,Brain looked perfectly normal. ... Completely paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
