Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44025
Mouse ID,23286-00
Disposition,Completely paralyzed
Sex,Female
Strain,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43924
Sac Date,44025
Age at Sac,101
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43926
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Slightly enlarged cranial nerves but brain looked normal
Date Tumor reported,43999
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23286-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
